section,cohort,external_cohort,label_key,diagnosis,headline,finding_class,feature,orientation,metric,value,lower_95,upper_95
label_performance,ningbo,,270492004,1st degree av block,True,geometric,,,auroc,0.735865998944579,0.7230717413509602,0.7478411940051177
label_performance,ningbo,,39732003,left axis deviation,True,geometric,,,auroc,0.9452148473982407,0.9414711368632162,0.9489675535963797
label_performance,ningbo,,164947007,prolonged pr interval,False,,,,auroc,0.6773777427219274,0.6130821045620299,0.7435756576359057
label_performance,ningbo,,111975006,prolonged qt interval,False,,,,auroc,0.7182790965658707,0.6855781765970896,0.7488503213404879
label_performance,ningbo,,698252002,nonspecific intraventricular conduction disorder,True,interpretive,,,auroc,0.6620481490826295,0.6403358294969874,0.6833361327405615
label_performance,ningbo,,426783006,sinus rhythm,True,interpretive,,,auroc,0.6013710455911135,0.5952220469660204,0.6074428856553095
label_performance,ningbo,,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,unclassified,,,auroc,0.773295225118687,0.7607148450966441,0.7849324653960523
label_performance,ningbo,,164917005,qwave abnormal,True,unclassified,,,auroc,0.6625256115767375,0.6446298768489663,0.6802226354771455
label_performance,ningbo,,47665007,right axis deviation,True,geometric,,,auroc,0.9693180686098372,0.9652904665086162,0.9726150151704476
label_performance,ningbo,,426177001,sinus bradycardia,True,geometric,,,auroc,0.9791897591008296,0.9776557843628952,0.980731489165905
label_performance,ningbo,,427084000,sinus tachycardia,True,geometric,,,auroc,0.9365746836448305,0.9335173822028519,0.9395836209299732
label_performance,ningbo,,164934002,t wave abnormal,True,interpretive,,,auroc,0.7239265821969906,0.7162865057132535,0.7318659497545207
label_performance,ningbo,,59931005,t wave inversion,True,interpretive,,,auroc,0.8299874804667867,0.8213102103061248,0.8384477536273782
macro_shift_delta,,chapman_shaoxing,,,,,,,macro_shift_delta,-0.04421166553961331,-0.05701783350336575,-0.031084470307321987
shift_delta,,chapman_shaoxing,164890007,atrial flutter,False,,,,shift_delta,-0.16715406727259607,-0.2675493509124677,-0.052829135074681885
