cohort,architecture,threshold_set,label_key,diagnosis,threshold,threshold_attainable,records,positives,negatives,prevalence,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,alerts_per_1000_records,alerts_per_true_positive,records_screened_per_true_positive,missed_cases_per_1000_records,sensitivity_lower_95,sensitivity_upper_95,specificity_lower_95,specificity_upper_95
ptb_test,xresnet1d101,registered_f1,733534002|164909002,complete left bundle branch block / left bundle branch block,0.1104494792719682,True,2198,54,2144,0.02456778889899909,51,14,2130,3,0.9444444444444444,0.9934701492537313,0.7846153846153846,0.9985935302390999,29.57233848953594,1.2745098039215685,43.09803921568628,1.364877161055505,0.8703703703703703,1.0,0.9892368702193994,0.9971297994425429
ptb_test,xresnet1d101,validation_sensitivity_90,733534002|164909002,complete left bundle branch block / left bundle branch block,0.14095604419708252,True,2198,54,2144,0.02456778889899909,51,13,2131,3,0.9444444444444444,0.9939365671641791,0.796875,0.9985941893158388,29.117379435850772,1.2549019607843137,43.09803921568628,1.364877161055505,,,,
ptb_test,xresnet1d101,registered_f1,713427006|59118001,complete right bundle branch block / right bundle branch block,0.3530633548895518,True,2198,54,2144,0.02456778889899909,52,13,2131,2,0.9629629629629629,0.9939365671641791,0.8,0.9990623534927332,29.57233848953594,1.25,42.26923076923077,0.9099181073703366,0.9038461538461539,1.0,0.9901544806720959,0.9972002193013003
ptb_test,xresnet1d101,validation_sensitivity_90,713427006|59118001,complete right bundle branch block / right bundle branch block,0.22424593567848206,True,2198,54,2144,0.02456778889899909,52,17,2127,2,0.9629629629629629,0.992070895522388,0.7536231884057971,0.9990605918271489,31.392174704276616,1.3269230769230769,42.26923076923077,0.9099181073703366,,,,
ptb_test,xresnet1d101,registered_f1,270492004,1st degree av block,0.3855339288711548,True,2198,79,2119,0.0359417652411283,39,24,2095,40,0.4936708860759494,0.9886739027843322,0.6190476190476191,0.9812646370023419,28.662420382165607,1.6153846153846154,56.35897435897436,18.198362147406733,0.37777777777777777,0.6104076479076478,0.9834977654989295,0.9929845881385868
ptb_test,xresnet1d101,validation_sensitivity_90,270492004,1st degree av block,0.03383258357644081,True,2198,79,2119,0.0359417652411283,76,163,1956,3,0.9620253164556962,0.9230769230769231,0.3179916317991632,0.998468606431853,108.73521383075523,3.1447368421052633,28.92105263157895,1.364877161055505,,,,
ptb_test,xresnet1d101,registered_f1,39732003,left axis deviation,0.3978004455566406,True,2198,528,1670,0.24021838034576887,415,124,1546,113,0.7859848484848485,0.925748502994012,0.7699443413729128,0.9318866787221217,245.22292993630575,1.2987951807228915,5.296385542168674,51.41037306642402,0.7475123379803992,0.8218403137487051,0.9119008035159372,0.9391570295781666
ptb_test,xresnet1d101,validation_sensitivity_90,39732003,left axis deviation,0.23052160441875458,True,2198,528,1670,0.24021838034576887,455,209,1461,73,0.8617424242424242,0.8748502994011976,0.6852409638554217,0.9524119947848761,302.09281164695176,1.4593406593406593,4.8307692307692305,33.21201091901729,,,,
ptb_test,xresnet1d101,registered_f1,698252002,nonspecific intraventricular conduction disorder,0.24984336892763773,True,2198,79,2119,0.0359417652411283,17,36,2083,62,0.21518987341772153,0.9830108541764984,0.32075471698113206,0.9710955710955711,24.11282984531392,3.1176470588235294,129.2941176470588,28.207461328480438,0.12675610625779996,0.30772058823529397,0.9765542938652649,0.9886259961466256
ptb_test,xresnet1d101,validation_sensitivity_90,698252002,nonspecific intraventricular conduction disorder,0.010655773803591728,True,2198,79,2119,0.0359417652411283,64,1023,1096,15,0.810126582278481,0.5172251061821614,0.05887764489420423,0.9864986498649865,494.540491355778,16.984375,34.34375,6.824385805277525,,,,
