external_cohort,architecture,label_key,diagnosis,estimand,internal_auroc,external_auroc,shift_delta,shift_delta_lower_95,shift_delta_upper_95,excludes_zero
ningbo,s4d,270492004,1st degree av block,restricted,0.9794863829965174,0.9574064762598116,-0.02207990673670579,-0.030748233016115546,-0.012854733940602187,True
chapman_shaoxing,xresnet1d101,39732003,left axis deviation,as_registered,0.9429663400471784,0.9606576213436365,0.01769128129645814,0.0061458085077070014,0.0308576361228319,True
chapman_shaoxing,xresnet1d101,39732003,left axis deviation,union,0.9429663400471784,0.9606576213436365,0.01769128129645814,0.0061458085077070014,0.0308576361228319,True
chapman_shaoxing,xresnet1d101,39732003,left axis deviation,restricted,0.9429663400471784,0.9606576213436365,0.01769128129645814,0.0061458085077070014,0.0308576361228319,True
ningbo,xresnet1d101,39732003,left axis deviation,as_registered,0.9429663400471784,0.9584617694545525,0.01549542940737414,0.004083409918002451,0.027705565518566174,True
ningbo,xresnet1d101,39732003,left axis deviation,union,0.9429663400471784,0.9584617694545525,0.01549542940737414,0.004083409918002451,0.027705565518566174,True
ningbo,xresnet1d101,39732003,left axis deviation,restricted,0.9429663400471784,0.9584617694545525,0.01549542940737414,0.004083409918002451,0.027705565518566174,True
chapman_shaoxing,s4d,39732003,left axis deviation,as_registered,0.9373502994011976,0.9521583258810699,0.014808026479872227,0.0014262453228389843,0.02826253962275049,True
chapman_shaoxing,s4d,39732003,left axis deviation,union,0.9373502994011976,0.9521583258810699,0.014808026479872227,0.0014262453228389843,0.02826253962275049,True
chapman_shaoxing,s4d,39732003,left axis deviation,restricted,0.9373502994011976,0.9521583258810699,0.014808026479872227,0.0014262453228389843,0.02826253962275049,True
ningbo,s4d,39732003,left axis deviation,as_registered,0.9373502994011976,0.9489062035812393,0.01155590418004171,-0.00033711358657208533,0.024355283180529874,False
ningbo,s4d,39732003,left axis deviation,union,0.9373502994011976,0.9489062035812393,0.01155590418004171,-0.00033711358657208533,0.024355283180529874,False
ningbo,s4d,39732003,left axis deviation,restricted,0.9373502994011976,0.9489062035812393,0.01155590418004171,-0.00033711358657208533,0.024355283180529874,False
chapman_shaoxing,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,as_registered,0.7651029563742152,0.6995150500250763,-0.06558790634913891,-0.13802012262798852,0.012707778092788329,False
chapman_shaoxing,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,union,0.5687488864719976,0.5328574367768562,-0.035891449695141464,-0.10113106594866833,0.025950069124800534,False
chapman_shaoxing,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,restricted,0.7641201241274257,0.6976290808379426,-0.06649104328948308,-0.14039963024332328,0.01000043033830097,False
ningbo,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,as_registered,0.7651029563742152,0.5359400587912658,-0.2291628975829494,-0.29402866981454806,-0.15939679843220922,True
ningbo,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,union,0.5687488864719976,0.4432198185945287,-0.12552906787746893,-0.18998122557566366,-0.06906531741672312,True
ningbo,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,restricted,0.7641201241274257,0.5359000709712509,-0.22822005315617477,-0.29402670267789316,-0.15868742316148265,True
chapman_shaoxing,s4d,698252002,nonspecific intraventricular conduction disorder,as_registered,0.7527971756441121,0.7280913967069305,-0.02470577893718162,-0.09771258692377005,0.04707356857331066,False
chapman_shaoxing,s4d,698252002,nonspecific intraventricular conduction disorder,union,0.565829116330769,0.5760994244241201,0.010270308093351055,-0.06019117369366875,0.0744592312875284,False
chapman_shaoxing,s4d,698252002,nonspecific intraventricular conduction disorder,restricted,0.7535264903788657,0.7268764106109734,-0.026650079767892243,-0.0995251165263725,0.04619887825583363,False
ningbo,s4d,698252002,nonspecific intraventricular conduction disorder,as_registered,0.7527971756441121,0.6193032390348296,-0.13349393660928244,-0.19808121294211664,-0.0635849556104422,True
ningbo,s4d,698252002,nonspecific intraventricular conduction disorder,union,0.565829116330769,0.5164172315771506,-0.04941188475361846,-0.11626428455055537,0.01104907295962569,False
ningbo,s4d,698252002,nonspecific intraventricular conduction disorder,restricted,0.7535264903788657,0.6207075362070851,-0.13281895417178058,-0.19796535712584667,-0.06339323437189809,True
chapman_shaoxing,xresnet1d101,426783006,sinus rhythm,as_registered,0.9377444998481912,0.8484528196017544,-0.08929168024643674,-0.10470962576561618,-0.07301834257664751,True
chapman_shaoxing,xresnet1d101,426783006,sinus rhythm,union,0.9187847899949396,0.9718226572779713,0.053037867283031725,0.03531095589754138,0.07152474799051875,True
chapman_shaoxing,xresnet1d101,426783006,sinus rhythm,restricted,0.9364808798778818,0.9981100330656449,0.061629153187763186,0.04541138062389008,0.07872567276311475,True
ningbo,xresnet1d101,426783006,sinus rhythm,as_registered,0.9377444998481912,0.8159859630650216,-0.12175853678316961,-0.13629780546843384,-0.10609838371737433,True
ningbo,xresnet1d101,426783006,sinus rhythm,union,0.9187847899949396,0.8663132316596169,-0.05247155833532269,-0.07029572580402443,-0.033983234858741516,True
ningbo,xresnet1d101,426783006,sinus rhythm,restricted,0.9364808798778818,0.9297987292575787,-0.0066821506203030845,-0.02338283603481923,0.010360514651266188,False
chapman_shaoxing,s4d,426783006,sinus rhythm,as_registered,0.9313444426279281,0.8504059311378364,-0.08093851149009179,-0.09717096087334555,-0.06462453367742878,True
chapman_shaoxing,s4d,426783006,sinus rhythm,union,0.912276801850647,0.9580749116636583,0.045798109813011356,0.027599099580237874,0.0654915199000451,True
chapman_shaoxing,s4d,426783006,sinus rhythm,restricted,0.9325766174801362,0.9973342024705373,0.06475758499040107,0.04848601541102,0.08235651834551141,True
ningbo,s4d,426783006,sinus rhythm,as_registered,0.9313444426279281,0.81905241221069,-0.11229203041723812,-0.12740865618135533,-0.09601754822761356,True
ningbo,s4d,426783006,sinus rhythm,union,0.912276801850647,0.8524395540492294,-0.059837247801417526,-0.07750776243119452,-0.04040932300920793,True
ningbo,s4d,426783006,sinus rhythm,restricted,0.9325766174801362,0.9294694646129606,-0.0031071528671755555,-0.01945256573548534,0.014493415121061615,False
chapman_shaoxing,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,as_registered,0.9047125483692647,0.8561817223752329,-0.0485308259940318,-0.09446844497663746,0.004642208247360868,False
chapman_shaoxing,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,union,0.9047125483692647,0.8561817223752329,-0.0485308259940318,-0.09446844497663746,0.004642208247360868,False
chapman_shaoxing,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,restricted,0.9047125483692647,0.8561817223752329,-0.0485308259940318,-0.09446844497663746,0.004642208247360868,False
ningbo,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,as_registered,0.9047125483692647,0.870546907623346,-0.03416564074591877,-0.07396190700161331,0.015178867360115597,False
ningbo,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,union,0.9047125483692647,0.870546907623346,-0.03416564074591877,-0.07396190700161331,0.015178867360115597,False
ningbo,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,restricted,0.9047125483692647,0.870546907623346,-0.03416564074591877,-0.07396190700161331,0.015178867360115597,False
chapman_shaoxing,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,as_registered,0.8851661829740188,0.8289032664613245,-0.05626291651269433,-0.11007267169978238,-0.00026509887519194974,True
