cohort,architecture,label_key,diagnosis,headline,positives,negatives,auroc,auprc,uncalibrated_ece,calibrated_ece,uncalibrated_brier,calibrated_brier
ptb_test,xresnet1d101,164890007,atrial flutter,False,7,2191,0.9623785616483015,0.5991614209943462,0.0018115683257204044,0.001836995776206149,0.001748618650793646,0.0017572155422456589
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,True,54,2144,0.9971755804311775,0.9185936339859406,0.005015935695440113,0.005202478941997169,0.005301390254539782,0.005287717623837185
ptb_test,xresnet1d101,713427006|59118001,complete right bundle branch block / right bundle branch block,True,54,2144,0.997987493090105,0.8997664625570294,0.004304018116809946,0.0036979712158009847,0.005252367615951094,0.005238083151398448
ptb_test,xresnet1d101,270492004,1st degree av block,True,79,2119,0.9796058565958388,0.6022930914684648,0.010531889216318584,0.009902837015558674,0.020708250338583863,0.020608916172975607
ptb_test,xresnet1d101,39732003,left axis deviation,True,528,1670,0.9429663400471784,0.8545434959344805,0.022063608255701212,0.021686962236799855,0.07770946388970952,0.07759958689518545
ptb_test,xresnet1d101,164947007,prolonged pr interval,False,34,2164,0.9856067195824726,0.5077464845396799,0.005303445010959929,0.007819253296009195,0.009900730269722104,0.009898561735224711
ptb_test,xresnet1d101,111975006,prolonged qt interval,False,11,2187,0.9197323024483519,0.09079216940499626,0.001973266918506076,0.0014877484975090475,0.004855789420438657,0.004846434800542025
ptb_test,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,True,79,2119,0.7651029563742152,0.19959568604177824,0.008015611213914227,0.006568442919185414,0.03167662719285289,0.03168153768160555
ptb_test,xresnet1d101,426783006,sinus rhythm,True,1822,376,0.9377444998481912,0.9846224911262879,0.020116957158063557,0.017319413167944008,0.05968603810368802,0.059499708877626706
ptb_test,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,54,2144,0.9047125483692647,0.2973187310305701,0.010075072912105045,0.010289843055096063,0.020763228457476655,0.02070317611647821
ptb_test,xresnet1d101,164917005,qwave abnormal,True,55,2143,0.8331650617231579,0.21220486874358124,0.009650531511491516,0.00850057536134983,0.022967465945519495,0.023039691317605308
ptb_test,xresnet1d101,47665007,right axis deviation,True,26,2172,0.9942626434339142,0.7953898694113972,0.003541233549419557,0.003714434960400646,0.004436080140467748,0.004433728471634133
ptb_test,xresnet1d101,426177001,sinus bradycardia,True,64,2134,0.9564711223055296,0.6244536334894014,0.009165953884525293,0.008186524738218225,0.01652330522745726,0.01655819719423565
ptb_test,xresnet1d101,427084000,sinus tachycardia,True,82,2116,0.9951242565355709,0.8994956439623728,0.006299635555609511,0.006616187443170272,0.0074825735136142355,0.007513633955578429
ptb_test,xresnet1d101,164934002,t wave abnormal,True,231,1967,0.9195095702467335,0.6063933100670637,0.019234223998942552,0.022684703038694923,0.059856652216346236,0.060015963969104545
ptb_test,xresnet1d101,59931005,t wave inversion,True,29,2169,0.958633408053926,0.24803756762474044,0.004612794685141548,0.004817687579241211,0.011590086529145133,0.01159448993133269
ptb_test,s4d,164890007,atrial flutter,False,7,2191,0.9641390102366826,0.7208756249053172,0.0014879366982678954,0.0015452286995657034,0.0011347683081874076,0.001192703451922576
ptb_test,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,True,54,2144,0.9972360420121614,0.8815268688238648,0.005850619962919855,0.006965460642398792,0.006356016343912301,0.006308647901034054
ptb_test,s4d,713427006|59118001,complete right bundle branch block / right bundle branch block,True,54,2144,0.9977715588723052,0.8907851200207335,0.004758739195057756,0.005382471502842752,0.005726843464644206,0.005750186120907875
ptb_test,s4d,270492004,1st degree av block,True,79,2119,0.9794863829965174,0.5842884285509888,0.011978776038785237,0.012726529312357153,0.020793969384099154,0.02059600397029234
ptb_test,s4d,39732003,left axis deviation,True,528,1670,0.9373502994011975,0.8308666102204325,0.02502038678522366,0.01695892299504531,0.08410468808740933,0.08368213278403926
ptb_test,s4d,164947007,prolonged pr interval,False,34,2164,0.9828340763292378,0.4487386055843787,0.009625386818101623,0.011655420131873987,0.012194730130806217,0.012266466492893409
ptb_test,s4d,111975006,prolonged qt interval,False,11,2187,0.8439123747765723,0.10859060393322763,0.004150290251291776,0.0036499011051775846,0.004836267481260873,0.004817874607077694
ptb_test,s4d,698252002,nonspecific intraventricular conduction disorder,True,79,2119,0.7527971756441121,0.17840976339937423,0.01382910588487172,0.005877169191563912,0.032432451570993864,0.032412426271702904
ptb_test,s4d,426783006,sinus rhythm,True,1822,376,0.9313444426279283,0.9826240946931705,0.041054217894924264,0.03499277291348041,0.06594886573290229,0.06518642736277747
ptb_test,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,54,2144,0.8851661829740188,0.27449655537454004,0.005015350221667915,0.009059368998451656,0.020721879437479506,0.02063032384816617
ptb_test,s4d,164917005,qwave abnormal,True,55,2143,0.8360497178975946,0.20191557781046823,0.015691467405437788,0.021745486437269493,0.024358288816058872,0.024942789072239457
ptb_test,s4d,47665007,right axis deviation,True,26,2172,0.9906856495254286,0.729967130515846,0.003598363908867985,0.0043173521523136,0.005282014571191981,0.005352359300776647
ptb_test,s4d,426177001,sinus bradycardia,True,64,2134,0.9576279873477038,0.6003236400221604,0.009143292268874646,0.006310796239477673,0.017478916946241145,0.017540564308944313
ptb_test,s4d,427084000,sinus tachycardia,True,82,2116,0.9945709806814513,0.8891474437438974,0.009057234591408638,0.009986006304281465,0.00915556853426432,0.009265539910983805
ptb_test,s4d,164934002,t wave abnormal,True,231,1967,0.9155392988641591,0.584069202684562,0.012634221733365134,0.011021872249689207,0.06112102247794104,0.06102231962082778
ptb_test,s4d,59931005,t wave inversion,True,29,2169,0.9552312363873388,0.2161534812277796,0.007634945164078375,0.010649158550497802,0.013234534640864788,0.013357530729554515
chapman_shaoxing,xresnet1d101,164890007,atrial flutter,False,445,9802,0.8940782550683305,0.3820585167643627,0.03530810641875765,0.03487808693894098,0.03720589830246366,0.037053361922748926
chapman_shaoxing,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,True,205,10042,0.8975221144364401,0.4697391683913616,0.012563898237213756,0.012691886468119543,0.013975277677868237,0.013948322791211677
chapman_shaoxing,xresnet1d101,713427006|59118001,complete right bundle branch block / right bundle branch block,True,454,9793,0.9768320984466564,0.8628112988955964,0.014493703144055164,0.014244291531740923,0.014002934419884974,0.013963941457396522
chapman_shaoxing,xresnet1d101,270492004,1st degree av block,True,247,10000,0.9725963562753036,0.572210914408187,0.006543516197999453,0.00645945925698177,0.014538229799037395,0.014481687762966476
chapman_shaoxing,xresnet1d101,39732003,left axis deviation,True,382,9865,0.9606576213436364,0.39952130469023817,0.0684410060443141,0.06969171742620558,0.04985984124773657,0.04964349856643429
chapman_shaoxing,xresnet1d101,164947007,prolonged pr interval,False,12,10235,0.9287493893502687,0.00973779055549847,0.0061564376832402455,0.006751189118630446,0.002759710382579378,0.002812607647891899
chapman_shaoxing,xresnet1d101,111975006,prolonged qt interval,False,57,10190,0.8027064717731521,0.0347426244014017,0.000973767536856972,0.00020306287194279724,0.005458919121173803,0.005462605886225117
chapman_shaoxing,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,True,235,10012,0.6995150500250763,0.11530640704555373,0.008100104105539461,0.007550310904412333,0.02189160079823047,0.021958757185129605
chapman_shaoxing,xresnet1d101,426783006,sinus rhythm,True,1826,8421,0.8484528196017546,0.5461826136832626,0.45383825951281276,0.45308141069211694,0.39921122199146397,0.3960844579652534
chapman_shaoxing,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,258,9989,0.8561817223752328,0.15538684206824216,0.008333506772424303,0.009538751521288726,0.02271208696136369,0.02271759893831905
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,True,235,10012,0.8245756156442057,0.16328233202764336,0.008328111949640263,0.007191132393684353,0.0208600661332568,0.020828593209004306
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,True,215,10032,0.9710424316605467,0.45745036322222277,0.010125267512297875,0.009567251728220365,0.01572061583982676,0.015621291953086725
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,True,3889,6358,0.9821747419808139,0.9662034201105729,0.33253291278722197,0.33081883088523106,0.3088723509676617,0.3059882604576936
chapman_shaoxing,xresnet1d101,427084000,sinus tachycardia,True,1568,8679,0.9946157861692897,0.9796442257321185,0.03200080394507742,0.032101847873046194,0.022991118293652895,0.023046415873433253
chapman_shaoxing,xresnet1d101,164934002,t wave abnormal,True,1876,8371,0.7576116932276346,0.42526402845662425,0.07855246652619931,0.07514466789071521,0.13585181900108526,0.1351877468983506
chapman_shaoxing,xresnet1d101,59931005,t wave inversion,True,157,10090,0.8532645679331873,0.09456356769916635,0.009431412954182965,0.00936970691785322,0.015212354374301297,0.015259334444887983
chapman_shaoxing,s4d,164890007,atrial flutter,False,445,9802,0.8836346171040536,0.35338186409031014,0.03273169338759068,0.031163352343661264,0.03681416738516416,0.03645593622635824
chapman_shaoxing,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,True,205,10042,0.9221498972607731,0.5034707142443979,0.013071074841023114,0.01293415423036823,0.013776878101358556,0.013701620010742054
chapman_shaoxing,s4d,713427006|59118001,complete right bundle branch block / right bundle branch block,True,454,9793,0.9770210313849099,0.8428314869477683,0.015806388301540738,0.015298881710759571,0.015869239720465878,0.015719957868922614
chapman_shaoxing,s4d,270492004,1st degree av block,True,247,10000,0.9643724696356276,0.5445815389393532,0.005509735062326442,0.007105526297483701,0.01532578771928414,0.01530115834894389
chapman_shaoxing,s4d,39732003,left axis deviation,True,382,9865,0.9521583258810699,0.34807099842408507,0.07654838000286356,0.08029679488479516,0.056423619954872356,0.055833490907618986
chapman_shaoxing,s4d,164947007,prolonged pr interval,False,12,10235,0.9301009607555772,0.012063608197056215,0.009067308566247694,0.011379149917855021,0.0033549678869637845,0.0036070960556340483
chapman_shaoxing,s4d,111975006,prolonged qt interval,False,57,10190,0.7962088735085997,0.04242677694457842,0.0033783817230986606,0.002537043749903734,0.005486033960050749,0.0054924211437517865
chapman_shaoxing,s4d,698252002,nonspecific intraventricular conduction disorder,True,235,10012,0.7280913967069303,0.10187338001844423,0.007355013319136829,0.006293599527348961,0.021968293089713323,0.022114602449476797
chapman_shaoxing,s4d,426783006,sinus rhythm,True,1826,8421,0.8504059311378364,0.4937864701751846,0.48320619169454926,0.4814115037649653,0.42311838149955894,0.4150719222332912
chapman_shaoxing,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,258,9989,0.8289032664613244,0.11874080780767994,0.002809501656675514,0.010038151140068128,0.023437588750184837,0.023618737543411754
chapman_shaoxing,s4d,164917005,qwave abnormal,True,235,10012,0.8103573584039577,0.1423382344418757,0.009935271430321779,0.008721637697976159,0.02122357087220468,0.021278610298539266
chapman_shaoxing,s4d,47665007,right axis deviation,True,215,10032,0.9686153147138459,0.42735674420820147,0.010242181277025732,0.01090565074901996,0.016963610193895397,0.016884175935744605
chapman_shaoxing,s4d,426177001,sinus bradycardia,True,3889,6358,0.9799046859569797,0.9573085950324918,0.3268688324962449,0.3216613452648952,0.3007308081494915,0.2920733535757424
chapman_shaoxing,s4d,427084000,sinus tachycardia,True,1568,8679,0.991733873812228,0.9620206721971359,0.019488247540638614,0.019494996794821782,0.02564774175819792,0.025916719853233506
chapman_shaoxing,s4d,164934002,t wave abnormal,True,1876,8371,0.7606146231825326,0.44398183932287977,0.07843666387498711,0.06754901061430017,0.13316396810848324,0.13139371317332826
chapman_shaoxing,s4d,59931005,t wave inversion,True,157,10090,0.8509276385145159,0.09347431935667128,0.010505979256347617,0.009873174590343068,0.016015557423668378,0.016225358098570827
ningbo,xresnet1d101,164890007,atrial flutter,False,7615,27290,0.814185486639814,0.5127493176551687,0.21238764395564275,0.212044397540966,0.21127810915974093,0.21091983457261837
ningbo,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,True,248,34657,0.9961098023301163,0.803382409541799,0.0011918378277748656,0.001064507865514086,0.002551026711376077,0.0025510229251125126
ningbo,xresnet1d101,713427006|59118001,complete right bundle branch block / right bundle branch block,True,1291,33614,0.9947004049297632,0.9327310678562593,0.006886440978887554,0.006705460775633714,0.008133513671573289,0.00812598133701062
ningbo,xresnet1d101,270492004,1st degree av block,True,893,34012,0.9729797624947337,0.6044605229458466,0.00699660159055801,0.006163295853018465,0.015184716277723451,0.015122250059751097
ningbo,xresnet1d101,39732003,left axis deviation,True,1163,33742,0.9584617694545525,0.38759914340486545,0.0687008343384653,0.07000741889183365,0.04796778009233827,0.04778998376602309
ningbo,xresnet1d101,164947007,prolonged pr interval,False,40,34865,0.9343123476265595,0.0122648063422417,0.006479090068319677,0.00710147950588112,0.00265275719079569,0.002711169768131804
ningbo,xresnet1d101,111975006,prolonged qt interval,False,337,34568,0.7507896533182435,0.04710700121690911,0.005149785431211192,0.004360371248624319,0.009436564194171366,0.009424815454121624
ningbo,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,True,536,34369,0.5359400587912658,0.016893388730544242,0.012277684669446618,0.012050342113675788,0.01767324848153007,0.01783419659189502
ningbo,xresnet1d101,426783006,sinus rhythm,True,6299,28606,0.8159859630650216,0.493204720594661,0.4760319200411667,0.4751178168247066,0.42617260661758144,0.4228221881616812
ningbo,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,1063,33842,0.870546907623346,0.2011479110515338,0.009404242136165855,0.01122662843602005,0.02670376059061193,0.026650464171279174
ningbo,xresnet1d101,164917005,qwave abnormal,True,828,34077,0.8283298168583538,0.1692241339678367,0.0077799712593326536,0.006240594438700635,0.021430835623253163,0.02139418715337272
ningbo,xresnet1d101,47665007,right axis deviation,True,638,34267,0.9665502503711175,0.3614066737998452,0.014863984813881055,0.014597739248307734,0.018417181375586164,0.018328385341618035
ningbo,xresnet1d101,426177001,sinus bradycardia,True,12670,22235,0.9653671275953974,0.9223307758945267,0.3178728484737836,0.3160408999480758,0.2969924098195701,0.2941935189759977
ningbo,xresnet1d101,427084000,sinus tachycardia,True,5687,29218,0.9880769859115128,0.9568475673739973,0.0486114018314414,0.048616426205209784,0.037692129795357375,0.03761351955876525
ningbo,xresnet1d101,164934002,t wave abnormal,True,5167,29738,0.7712122747031058,0.40659150002266714,0.06097367384688354,0.058934096937913925,0.11278574177702831,0.1124653320996368
ningbo,xresnet1d101,59931005,t wave inversion,True,2720,32185,0.8648471954417933,0.3916825605383745,0.06226994356987113,0.060923112107345107,0.06765297767206953,0.0671557512506877
ningbo,s4d,164890007,atrial flutter,False,7615,27290,0.8342857087862738,0.5680708630296336,0.21115199095262102,0.21031825552576994,0.2098523446578959,0.20884631752771113
ningbo,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,True,248,34657,0.996972403284911,0.8020905206907256,0.002335714037080358,0.0027199197249959356,0.002934390644541102,0.002944246439898818
