section,cohort,architecture,rung,label_key,diagnosis,sample_size,metric,value,lower_95,upper_95
ladder,ptb_test,xresnet1d101,oracle_global_temperature,,,,macro_brier,0.026444519347812404,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,733534002|164909002,complete left bundle branch block / left bundle branch block,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,733534002|164909002,complete left bundle branch block / left bundle branch block,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,713427006|59118001,complete right bundle branch block / right bundle branch block,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,713427006|59118001,complete right bundle branch block / right bundle branch block,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,270492004,1st degree av block,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,270492004,1st degree av block,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,39732003,left axis deviation,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,39732003,left axis deviation,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,698252002,nonspecific intraventricular conduction disorder,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,698252002,nonspecific intraventricular conduction disorder,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,426783006,sinus rhythm,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,426783006,sinus rhythm,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,284470004|63593006,premature atrial contraction / supraventricular premature beats,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,284470004|63593006,premature atrial contraction / supraventricular premature beats,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,164917005,qwave abnormal,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,164917005,qwave abnormal,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,47665007,right axis deviation,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,47665007,right axis deviation,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,426177001,sinus bradycardia,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,426177001,sinus bradycardia,,slope,0.9421404151225039,,
