cohort,architecture,calibration,label_key,bin,lower,upper,count,mean_probability,observed_frequency
ptb_test,xresnet1d101,uncalibrated,713427006|59118001,15,0.9333333333333333,1.0,25,0.9686397767066955,0.88
ptb_test,xresnet1d101,uncalibrated,270492004,1,0.0,0.06666666666666667,2013,0.0032976383339747522,0.003974167908594138
ptb_test,xresnet1d101,uncalibrated,270492004,2,0.06666666666666667,0.13333333333333333,58,0.09715541195252846,0.13793103448275862
ptb_test,xresnet1d101,uncalibrated,270492004,3,0.13333333333333333,0.2,23,0.1661092600096827,0.30434782608695654
ptb_test,xresnet1d101,uncalibrated,270492004,4,0.2,0.26666666666666666,17,0.23166811992140376,0.4117647058823529
ptb_test,xresnet1d101,uncalibrated,270492004,5,0.26666666666666666,0.3333333333333333,15,0.2979863047599792,0.4666666666666667
ptb_test,xresnet1d101,uncalibrated,270492004,6,0.3333333333333333,0.4,12,0.37110690275828045,0.3333333333333333
ptb_test,xresnet1d101,uncalibrated,270492004,7,0.4,0.4666666666666667,10,0.43652309775352477,0.5
ptb_test,xresnet1d101,uncalibrated,270492004,8,0.4666666666666667,0.5333333333333333,14,0.504890650510788,0.5714285714285714
ptb_test,xresnet1d101,uncalibrated,270492004,9,0.5333333333333333,0.6,12,0.5705724308888117,0.75
ptb_test,xresnet1d101,uncalibrated,270492004,10,0.6,0.6666666666666666,5,0.6276540875434875,1.0
ptb_test,xresnet1d101,uncalibrated,270492004,11,0.6666666666666666,0.7333333333333333,8,0.6962875425815582,0.25
ptb_test,xresnet1d101,uncalibrated,270492004,12,0.7333333333333333,0.8,7,0.762588347707476,0.7142857142857143
ptb_test,xresnet1d101,uncalibrated,270492004,13,0.8,0.8666666666666667,4,0.8229859918355942,1.0
ptb_test,xresnet1d101,uncalibrated,270492004,14,0.8666666666666667,0.9333333333333333,0,,
ptb_test,xresnet1d101,uncalibrated,270492004,15,0.9333333333333333,1.0,0,,
ptb_test,xresnet1d101,uncalibrated,39732003,1,0.0,0.06666666666666667,1303,0.010541802438344256,0.02072141212586339
