external_cohort,architecture,label_key,diagnosis,headline,shift_delta,shift_delta_lower_95,shift_delta_upper_95,excludes_zero
chapman_shaoxing,xresnet1d101,164890007,atrial flutter,False,-0.06830030657997099,-0.11160849528594224,-0.020805188906949164,True
chapman_shaoxing,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,True,-0.09965346599473734,-0.12496005106830188,-0.07558919247038913,True
chapman_shaoxing,xresnet1d101,713427006|59118001,complete right bundle branch block / right bundle branch block,True,-0.021155394643448733,-0.02967800691390218,-0.013784698089040467,True
chapman_shaoxing,xresnet1d101,270492004,1st degree av block,True,-0.007009500320535156,-0.018194578774856952,0.0028709705478291376,False
chapman_shaoxing,xresnet1d101,39732003,left axis deviation,True,0.01769128129645814,0.0061458085077070014,0.0308576361228319,True
chapman_shaoxing,xresnet1d101,164947007,prolonged pr interval,False,-0.05685733023220385,-0.0943781460363932,-0.026127707001328916,True
chapman_shaoxing,xresnet1d101,111975006,prolonged qt interval,False,-0.11702583067519956,-0.19420860881074076,-0.029737772988087042,True
chapman_shaoxing,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,True,-0.06558790634913891,-0.13802012262798852,0.012707778092788329,False
chapman_shaoxing,xresnet1d101,426783006,sinus rhythm,True,-0.08929168024643674,-0.10470962576561618,-0.07301834257664751,True
chapman_shaoxing,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,-0.0485308259940318,-0.09446844497663746,0.004642208247360868,False
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,True,-0.008589446078952179,-0.06825578475181493,0.05440457010869693,False
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,True,-0.023220211773367416,-0.03268827521695633,-0.013370737603180482,True
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,True,0.02570361967528423,0.00524937999203397,0.05322578152796924,True
chapman_shaoxing,xresnet1d101,427084000,sinus tachycardia,True,-0.0005084703662813217,-0.00464265087550329,0.0053650320534258285,False
chapman_shaoxing,xresnet1d101,164934002,t wave abnormal,True,-0.16189787701909886,-0.18261669716333634,-0.14058144880908438,True
chapman_shaoxing,xresnet1d101,59931005,t wave inversion,True,-0.10536884012073877,-0.1389310123918701,-0.07190630341977194,True
chapman_shaoxing,s4d,164890007,atrial flutter,False,-0.08050439313262903,-0.12163741766698874,-0.037221838314340824,True
