cohort,architecture,label_key,diagnosis,estimand,competing_labels,records_evaluated,positives,prevalence,auroc,auroc_lower_95,auroc_upper_95
ptb_test,xresnet1d101,426783006,sinus rhythm,restricted,sinus bradycardia;sinus tachycardia,2052,1762,0.8586744639376218,0.9364808798778818,0.9193924045620705,0.9527338222478926
ptb_test,s4d,426783006,sinus rhythm,as_registered,sinus bradycardia;sinus tachycardia,2198,1822,0.8289353958143767,0.9313444426279281,0.9162180009556227,0.9453428234555777
ptb_test,s4d,426783006,sinus rhythm,union,sinus bradycardia;sinus tachycardia,2198,1908,0.8680618744313012,0.912276801850647,0.8928285104397556,0.9302945189353278
ptb_test,s4d,426783006,sinus rhythm,restricted,sinus bradycardia;sinus tachycardia,2052,1762,0.8586744639376218,0.9325766174801362,0.9151262020232684,0.9488726284094124
ptb_test,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,as_registered,,2198,54,0.02456778889899909,0.9047125483692647,0.8566795789583934,0.942958156162678
ptb_test,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,union,,2198,54,0.02456778889899909,0.9047125483692647,0.8566795789583934,0.942958156162678
ptb_test,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,restricted,,2198,54,0.02456778889899909,0.9047125483692647,0.8566795789583934,0.942958156162678
ptb_test,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,as_registered,,2198,54,0.02456778889899909,0.8851661829740188,0.8329302124270167,0.9303046813619064
ptb_test,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,union,,2198,54,0.02456778889899909,0.8851661829740188,0.8329302124270167,0.9303046813619064
ptb_test,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,restricted,,2198,54,0.02456778889899909,0.8851661829740188,0.8329302124270167,0.9303046813619064
ptb_test,xresnet1d101,164917005,qwave abnormal,as_registered,,2198,55,0.02502274795268426,0.8331650617231579,0.7738301975080718,0.8865782440349276
ptb_test,xresnet1d101,164917005,qwave abnormal,union,,2198,55,0.02502274795268426,0.8331650617231579,0.7738301975080718,0.8865782440349276
ptb_test,xresnet1d101,164917005,qwave abnormal,restricted,,2198,55,0.02502274795268426,0.8331650617231579,0.7738301975080718,0.8865782440349276
ptb_test,s4d,164917005,qwave abnormal,as_registered,,2198,55,0.02502274795268426,0.8360497178975947,0.7728214986272126,0.8897616175906247
ptb_test,s4d,164917005,qwave abnormal,union,,2198,55,0.02502274795268426,0.8360497178975947,0.7728214986272126,0.8897616175906247
ptb_test,s4d,164917005,qwave abnormal,restricted,,2198,55,0.02502274795268426,0.8360497178975947,0.7728214986272126,0.8897616175906247
ptb_test,xresnet1d101,47665007,right axis deviation,as_registered,,2198,26,0.011828935395814377,0.9942626434339141,0.987380596344144,0.9987134267175566
ptb_test,xresnet1d101,47665007,right axis deviation,union,,2198,26,0.011828935395814377,0.9942626434339141,0.987380596344144,0.9987134267175566
ptb_test,xresnet1d101,47665007,right axis deviation,restricted,,2198,26,0.011828935395814377,0.9942626434339141,0.987380596344144,0.9987134267175566
ptb_test,s4d,47665007,right axis deviation,as_registered,,2198,26,0.011828935395814377,0.9906856495254285,0.9811710058738224,0.997055999263564
