macro_variant,architecture,cohort,quantity,value,lower_95,upper_95
registered,xresnet1d101,ptb_test,macro_auroc,0.937112410542677,0.9290211539746225,0.9446835312781604
registered,xresnet1d101,chapman_shaoxing,macro_auroc,0.8919263553169059,0.8864464373208764,0.897117397935634
registered,xresnet1d101,ningbo,macro_auroc,0.8868544861207754,0.8842561220306883,0.8893166086905374
registered,xresnet1d101,chapman_shaoxing,shift_delta,-0.04518605522577113,-0.054224442480068656,-0.035354019593468455
registered,xresnet1d101,ningbo,shift_delta,-0.05025792442190158,-0.05846679475420475,-0.041747134083591465
registered,s4d,ptb_test,macro_auroc,0.9331428427101476,0.9249767819519846,0.941041610606226
registered,s4d,chapman_shaoxing,macro_auroc,0.891173524080964,0.8853659877964162,0.8960345628277337
registered,s4d,ningbo,macro_auroc,0.888676935165413,0.8860468078054652,0.8911818297923341
registered,s4d,chapman_shaoxing,shift_delta,-0.04196931862918363,-0.05153588886907248,-0.032429150961127466
registered,s4d,ningbo,shift_delta,-0.04446590754473456,-0.05278413149013629,-0.03570452037106914
drop_sinus_rhythm,xresnet1d101,ptb_test,macro_auroc,0.9370597364338842,0.928431534883674,0.9450438784381231
drop_sinus_rhythm,xresnet1d101,chapman_shaoxing,macro_auroc,0.8955491499598353,0.8896704563730162,0.9010800386145856
drop_sinus_rhythm,xresnet1d101,ningbo,macro_auroc,0.8927601963754217,0.8898921760024483,0.8954735458972989
drop_sinus_rhythm,xresnet1d101,chapman_shaoxing,shift_delta,-0.04151058647404893,-0.05130701094657401,-0.031133843650718047
drop_sinus_rhythm,xresnet1d101,ningbo,shift_delta,-0.04429954005846248,-0.053007373900504445,-0.03521828042661592
drop_sinus_rhythm,s4d,ptb_test,macro_auroc,0.9332927093836658,0.9247893039935222,0.9417428473059803
drop_sinus_rhythm,s4d,chapman_shaoxing,macro_auroc,0.8945708234928914,0.8883083424104042,0.8999717151976415
drop_sinus_rhythm,s4d,ningbo,macro_auroc,0.8944789787449731,0.8916387159387604,0.8971711008439065
drop_sinus_rhythm,s4d,chapman_shaoxing,shift_delta,-0.03872188589077441,-0.04898040636176834,-0.028304563286762913
drop_sinus_rhythm,s4d,ningbo,shift_delta,-0.038813730638692756,-0.04818741373956975,-0.029675476180035437
union_reconciled,xresnet1d101,ptb_test,macro_auroc,0.9018456871103335,0.8938921726388457,0.9100429793974295
union_reconciled,xresnet1d101,chapman_shaoxing,macro_auroc,0.883871730606604,0.879124230944986,0.888057371852978
union_reconciled,xresnet1d101,ningbo,macro_auroc,0.8764655716542916,0.8742269073891762,0.8784732535864722
union_reconciled,xresnet1d101,chapman_shaoxing,shift_delta,-0.01797395650372957,-0.027555697016174857,-0.008602287526124412
union_reconciled,xresnet1d101,ningbo,shift_delta,-0.025380115456041907,-0.033800860453243084,-0.017013261484606263
union_reconciled,s4d,ptb_test,macro_auroc,0.9003328248646294,0.8920895845116603,0.9089271162624538
union_reconciled,s4d,chapman_shaoxing,macro_auroc,0.8843772546203655,0.8795988490072706,0.8885251562056531
union_reconciled,s4d,ningbo,macro_auroc,0.876202503629314,0.8739814398425998,0.8782715147988055
union_reconciled,s4d,chapman_shaoxing,shift_delta,-0.01595557024426386,-0.025645010243558513,-0.0065923882427057195
union_reconciled,s4d,ningbo,shift_delta,-0.024130321235315444,-0.032999952442241826,-0.015554131172757496
