cohort,architecture,macro_auroc,macro_auprc,micro_auroc,micro_auprc,macro_auroc_lower_95,macro_auroc_upper_95,registered_headline_labels,contributing_labels,uncalibrated_macro_per_label_ece,uncalibrated_macro_per_label_ece_lower_95,uncalibrated_macro_per_label_ece_upper_95,uncalibrated_macro_brier,uncalibrated_macro_brier_lower_95,uncalibrated_macro_brier_upper_95,uncalibrated_pooled_ece,uncalibrated_pooled_ece_lower_95,uncalibrated_pooled_ece_upper_95,calibrated_macro_per_label_ece,calibrated_macro_per_label_ece_lower_95,calibrated_macro_per_label_ece_upper_95,calibrated_macro_brier,calibrated_macro_brier_lower_95,calibrated_macro_brier_upper_95,calibrated_pooled_ece,calibrated_pooled_ece_lower_95,calibrated_pooled_ece_upper_95,macro_f1,micro_f1,macro_sensitivity,macro_specificity
ptb_test,xresnet1d101,0.937112410542677,0.6263621911879315,0.9821294709846351,0.9118097133764227,0.9290211539746225,0.9446835312781604,13,13,0.0102021127502679,0.011059364388166787,0.014416099222942643,0.026457963801950146,0.024762155925502623,0.028139744740547548,0.0035681668089806184,0.0030568683541197838,0.0062152442662487,0.009937543205650561,0.01104299238097875,0.014140765580833006,0.026444187027584453,0.024755287930072898,0.02811180867055678,0.002238893684218915,0.0024579131870740615,0.0050107157793276855,0.608808696898571,0.8249385749385749,0.6390531352891907,0.9528066646490287
ptb_test,s4d,0.9331428427101476,0.603428762852909,0.9809240406603223,0.9036850111848292,0.9249767819519846,0.941041610606226,13,13,0.012712824696575612,0.013769492735096202,0.01723199193936689,0.028208850769846368,0.026456836857850677,0.029957572418118916,0.0059597966460118584,0.005239322023843056,0.008686260626271034,0.011999489806897632,0.013279068044443293,0.016554503396819634,0.028157480861711274,0.026453184922381988,0.029842157626846957,0.006334946683988192,0.00521606637996266,0.008656146355587256,0.5881705945767296,0.7903202006787664,0.6502672505531523,0.942008121510017
chapman_shaoxing,xresnet1d101,0.8919263553169059,0.47750511434083,0.8850935996911645,0.3910930368198341,0.8864464373208764,0.897117397935634,13,13,0.0802526899760753,0.07906471035654354,0.08202350336174258,0.08120765519272076,0.07981307717762069,0.08251670780684009,0.06440525301817018,0.0629488089669093,0.06605911858592513,0.07980394349920127,0.07860058211462868,0.08154702855676861,0.0806715313463975,0.07929048960915465,0.08197137126436216,0.0627025770284243,0.06125159858349841,0.06430509104899548,0.42056149910012375,0.44784297689634023,0.4751954411489842,0.9345154854712209
chapman_shaoxing,s4d,0.8911735240809638,0.4599873693166284,0.8818401442977348,0.3769038597361618,0.8853659877964162,0.8960345628277337,13,13,0.0815218046733601,0.0804504846903979,0.08332833049770774,0.08335884964164456,0.08196178204624596,0.08470461364823946,0.06679581079728283,0.0653269287298847,0.06842948669049476,0.08089110978978041,0.07976532755163118,0.08266135210148455,0.08193334002288971,0.08058233316686012,0.08323408816345029,0.062159345001741306,0.06070161014355441,0.06373355551907021,0.4202666155542054,0.44254076033318857,0.4963889035708958,0.9290480732890644
ningbo,xresnet1d101,0.8868544861207754,0.5113463365940583,0.8789711323556908,0.36574521875303423,0.8842561220306883,0.8893166086905374,13,13,0.0841431834905891,0.08341182901215123,0.08498274551223163,0.08456599450043069,0.08383069300607299,0.08529540229950622,0.06818785517031503,0.06736640766227171,0.06902405070658285,0.08366833381891964,0.08298777015842729,0.08453182624066236,0.0840035985686793,0.08327788413046126,0.08472607530792912,0.06638194476187265,0.06554594950857334,0.06719738470174233,0.41433798777138675,0.42619734150105887,0.5049887544435653,0.931533543631181
ningbo,s4d,0.8886769351654127,0.4798335791282218,0.8790304808114571,0.35435025661105674,0.8860468078054652,0.8911818297923341,13,13,0.08618570156936653,0.08549109074218905,0.08714221694751371,0.08743599379527796,0.08666556122519331,0.08817329330796143,0.07144749230317765,0.07061210009096248,0.07226634944887995,0.08546164020497755,0.08474863872020041,0.08630947021467901,0.08587389611361412,0.0851302869254243,0.0865932740988694,0.06634045349422749,0.06552330715265846,0.0671674211778364,0.42226860077885225,0.42377260981912146,0.5180677892995802,0.924949967768513
