cohort,stratification,subgroup,architecture,records,eligible_labels,eligible_label_keys,eligible_label_digest,contributing_labels,macro_auroc,macro_auroc_lower_95,macro_auroc_upper_95,macro_auprc,uncalibrated_macro_ece,uncalibrated_macro_ece_lower_95,uncalibrated_macro_ece_upper_95,calibrated_macro_ece,calibrated_macro_ece_lower_95,calibrated_macro_ece_upper_95,calibrated_minus_uncalibrated_macro_ece,calibrated_minus_uncalibrated_macro_ece_lower_95,calibrated_minus_uncalibrated_macro_ece_upper_95,uncalibrated_brier,uncalibrated_brier_lower_95,uncalibrated_brier_upper_95,calibrated_brier,calibrated_brier_lower_95,calibrated_brier_upper_95,calibrated_minus_uncalibrated_brier,calibrated_minus_uncalibrated_brier_lower_95,calibrated_minus_uncalibrated_brier_upper_95,ptb_sex_encoding_correction
ptb_test,age,under_40,xresnet1d101,284,4,39732003;426783006;426177001;164934002,44c855a5e862f01c,4,0.9464802441922676,0.9205699169983785,0.9711898697649314,0.8255287914672428,0.02796497149934756,0.023957541428238475,0.04383559028634322,0.02988485963249557,0.025511244038932932,0.04551110833288845,0.001919888133148008,-0.0008879277537536846,0.0048280410118847214,0.027943518116398013,0.01881321374552721,0.03801966613888103,0.027884944375315697,0.018908244871358854,0.03787723101068841,-5.8573741082316305e-05,-0.00021046123313365664,7.427075557076504e-05,False
ptb_test,age,under_40,s4d,284,4,39732003;426783006;426177001;164934002,44c855a5e862f01c,4,0.9400677017029035,0.9064540617912985,0.9704652552515804,0.8338319234676302,0.0270432243715034,0.023252331266658165,0.04302829325594342,0.025858157185472894,0.02379054374424043,0.04191277884943656,-0.001185067186030505,-0.004976017795470262,0.003915156248808616,0.028173400890411714,0.018493267853118556,0.038567719914884266,0.028030748577096025,0.018703123265468767,0.038046703835537876,-0.00014265231331568942,-0.0005795453802551895,0.00023032695644967767,False
ptb_test,age,40_to_64,xresnet1d101,866,4,39732003;426783006;426177001;164934002,44c855a5e862f01c,4,0.9432825313851377,0.9285099919031898,0.9566064386223152,0.7983482488904021,0.02215903279926803,0.023837700125775203,0.03572926957719687,0.02279553806796606,0.024445859546619077,0.035774999260994714,0.0006365052686980316,-0.0024794813682416346,0.003819197437928634,0.04451877281073339,0.039001848971311794,0.0503122481713817,0.044512455278240694,0.039035802404249746,0.05024596812743587,-6.317532492694511e-06,-0.00010121527754805795,8.65750152509571e-05,False
ptb_test,age,40_to_64,s4d,866,4,39732003;426783006;426177001;164934002,44c855a5e862f01c,4,0.9404333025833621,0.926750319091409,0.9525300460475064,0.7742194599395122,0.026122233039460686,0.02583865503580985,0.03846425132774023,0.021636153533474096,0.022570204804545697,0.0347005936121954,-0.00448607950598659,-0.007889611971626223,0.00022578118380498193,0.04772763133190773,0.0420585585180848,0.05377246214565947,0.047486791793486,0.04199973706421181,0.053352693878262795,-0.00024083953842173045,-0.0005114587733745896,2.7106722108124365e-05,False
ptb_test,age,65_plus,xresnet1d101,1048,4,39732003;426783006;426177001;164934002,44c855a5e862f01c,4,0.921949782282797,0.9021604357631173,0.9370247773941078,0.7158573959598646,0.024824889153298498,0.026834991157132032,0.03931148405707066,0.024768609868835632,0.02674630296260671,0.039405953537586524,-5.6279284462865814e-05,-0.0030777309601781227,0.004132725756208106,0.06772938794044829,0.06202397495832397,0.07365879355062781,0.06769699819930307,0.06203601036765158,0.07354274207841065,-3.2389741145222306e-05,-0.00014057178939190263,6.882707634277682e-05,False
ptb_test,age,65_plus,s4d,1048,4,39732003;426783006;426177001;164934002,44c855a5e862f01c,4,0.9158595494322396,0.8943786578084357,0.9319919399764323,0.6936945447471919,0.03024544869812809,0.032471645237109326,0.046209537403022596,0.02653652805672759,0.029001154718720813,0.0420339513666837,-0.0037089206414004997,-0.008937063031741617,0.001795398558308493,0.0728165266713171,0.0669506160927931,0.07947941547758003,0.07241343915174753,0.06668029642905218,0.0787680974687468,-0.0004030875195695782,-0.0007253543686830931,-9.634997123265494e-05,False
ptb_test,sex,female,xresnet1d101,1066,14,733534002|164909002;713427006|59118001;270492004;39732003;164947007;698252002;426783006;284470004|63593006;164917005;47665007;426177001;427084000;164934002;59931005,5bd295b7e475cd5f,14,0.9425664516863513,0.9314243611948052,0.9524822880844493,0.6415130209340852,0.011127576026177807,0.013298218877727664,0.017716439727588414,0.011008936174705919,0.013192576404678665,0.017532664646786707,-0.00011863985147188803,-0.001420797048210861,0.001061782475313293,0.02597459084446983,0.0237777815923633,0.028199808748954412,0.025957707740404023,0.023777223111496888,0.028178223843160467,-1.6883104065806842e-05,-5.092690649585894e-05,1.7111920969394625e-05,True
ptb_test,sex,female,s4d,1066,14,733534002|164909002;713427006|59118001;270492004;39732003;164947007;698252002;426783006;284470004|63593006;164917005;47665007;426177001;427084000;164934002;59931005,5bd295b7e475cd5f,14,0.9316662985583651,0.919843688074697,0.9422000271016275,0.6037977671764787,0.014622258630740986,0.016147618783729546,0.02105795901476088,0.014348619157775905,0.01599972385821595,0.02086384109970684,-0.00027363947296508116,-0.001825759967263032,0.0015169426293308614,0.02804676311669092,0.025564807466378365,0.030451561760944323,0.027963751157355447,0.025562159681747368,0.03027895263057655,-8.301195933547306e-05,-0.00018466494818635115,1.8085857211934587e-05,True
ptb_test,sex,male,xresnet1d101,1132,14,733534002|164909002;713427006|59118001;270492004;39732003;164947007;698252002;426783006;284470004|63593006;164917005;47665007;426177001;427084000;164934002;59931005,5bd295b7e475cd5f,14,0.9379602921074971,0.9252272585483997,0.9489263002858584,0.6093981392933959,0.013319457132909678,0.01431895582463417,0.018688592232863677,0.013922210370647425,0.01458901643232792,0.019043095410569404,0.0006027532377377472,-0.0006441132868331121,0.0013689559967355065,0.024616788809118186,0.022439440666241067,0.02690433438838562,0.024607547230087862,0.02245532370415138,0.026865879679065556,-9.241579030323799e-06,-4.485761899898546e-05,2.28332822356153e-05,True
ptb_test,sex,male,s4d,1132,14,733534002|164909002;713427006|59118001;270492004;39732003;164947007;698252002;426783006;284470004|63593006;164917005;47665007;426177001;427084000;164934002;59931005,5bd295b7e475cd5f,14,0.9420137143300337,0.9314410870631602,0.9511454796814511,0.5984716243692195,0.0163646723435109,0.017185599670461436,0.021959919342602774,0.01534233662012739,0.016700088747276572,0.021050231923653934,-0.0010223357233835103,-0.0023946520833526158,0.0009021588027486726,0.026140448382862627,0.02400335481763489,0.02836248383646866,0.02613594959752303,0.024086000578120256,0.028267755076462033,-4.498785339597522e-06,-0.00011043279689184754,9.029325700502773e-05,True
